Title,Price,Rating,Image,Type
"Dell G Series, 13th Gen Intel Core i5-13450HX, NVIDIA RTX 3050-6GB, 16GB DDR5, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, Microsoft Office Home 2024, 2.65KG, G15-5530, Backlit Keyboard, Gaming Laptop","78,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71FJAKQJ0JL._AC_UY218_.jpg,Ad
"Dell 15, 13th Gen Intel Core i5-1334U (16GB DDR4, 512GB SSD) Anti-Glare FHD 15.6""/39.62cm, Windows 11, Microsoft Office Home 2024, Grey, 1.66kg, [Vostro 3530], 12 Month McAfee, Thin & Light Laptop","66,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/712WiT-wexL._AC_UY218_.jpg,Ad
"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU","47,600",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61R5Ecv7i-L._AC_UY218_.jpg,Organic
"Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel Core 3 100U Processor, 8GB DDR4, 512 SSD, 15.6"" NT FHD 120Hz IPS AG 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, Thin & Light- 1.63Kg","49,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/717WZ7WriwL._AC_UY218_.jpg,Organic
"Acer Aspire One, Intel Core Celeron N4500, Office 2024 + M365 Basic, 12GB LPDDR4X RAM/ 256GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.3KG, A114-45, Thin and Light Laptop","35,990",N/A,https://m.media-amazon.com/images/I/71I0Oo7W2-L._AC_UY218_.jpg,Organic
"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop","52,690",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71FXHAM+jWL._AC_UY218_.jpg,Organic
"HP 15 (2026), AMD Athlon Dual Core 7120U - (8 GB DDR5/512 GB SSD/AMD Radeon 610M Graphics/DOS) Thin and Light Business Laptop/15.6"" HD Display/Turbo Silver/Copilot Key/1.5kg","39,800",5.0 out of 5 stars,https://m.media-amazon.com/images/I/718-7YE0WQL._AC_UY218_.jpg,Organic
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","40,999",3.9 out of 5 stars,https://m.media-amazon.com/images/I/61AccNkmFFL._AC_UY218_.jpg,Organic
"Acer Aspire Lite, AMD Ryzen 3-7330U, Office 2024 + M365 Basic,8GB RAM, 512GB SSD, Full HD IPS, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 KG, AL15-41, Metal Body, Premium Thin and Light Laptop","44,999",N/A,https://m.media-amazon.com/images/I/71JEGsayyGL._AC_UY218_.jpg,Organic
"ASUS Vivobook 15, Smartchoice,Intel Core i5 13th Gen 13420H,16GB RAM, 512GB SSD, FHD 15.6"",Windows 11, Office Home 2024, Quiet Blue, 1.70 kg, X1502VA-BQ836WS,Intel UHD iGPU, M365 Basic (1Year)* Laptop","61,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/818iNyzckGL._AC_UY218_.jpg,Organic
"HP 15, Intel Core Ultra 5 125H (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)*Office24, Silver, 1.65kg, fd1354TU, Intel Arc Graphics, FHD Camera w/Shutter, AI Powered Laptop","79,990",3.7 out of 5 stars,https://m.media-amazon.com/images/I/71dyfY6G0aL._AC_UY218_.jpg,Ad
"Dell 15 Laptop, 14th Gen Intel Core 3 100U Processor, 16GB DDR4, 512 SSD, Intel UHD Graphics, 15.6"" NT FHD 120Hz IPS AG 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, Thin & Light- 1.63Kg","59,990",N/A,https://m.media-amazon.com/images/I/71ZBa5+qu4L._AC_UY218_.jpg,Ad
"HP Victus, AMD Ryzen 7 7445HS, 6GB RTX 4050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, IPS, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Blue, 2.29kg, fb3130AX, Backlit, DTS Audio, Gaming Laptop","87,490",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71r2ySSfgBL._AC_UY218_.jpg,Organic
